Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
886,Jarred Tinordi\tinorja01,29,NYR,D,7,1,0,1,-5,7,-0.1,1,0,0,1,0,0,0,5,20.0,90,12:55,8,17,0,0,
887,Owen Tippett\tippeow01,22,FLA,RW,42,6,8,14,2,10,0.8,6,0,0,0,7,1,0,73,8.2,527,12:32,12,62,19,33,36.5
888,Vladimir Tkachev\tkachvl02,26,LAK,F,4,0,2,2,-2,2,0.0,0,0,0,0,0,2,0,1,0.0,56,13:59,0,1,1,1,50.0
889,Brady Tkachuk\tkachbr01,22,OTT,LW,54,20,22,42,-3,94,4.6,15,5,0,2,20,2,0,190,10.5,1003,18:35,23,198,167,150,52.7
890,Matthew Tkachuk\tkachma01,24,CGY,LW,57,27,39,66,36,48,8.7,17,10,0,4,29,10,0,181,14.9,1012,17:46,14,65,19,13,59.4
891,Devon Toews\toewsde01,27,COL,D,48,12,33,45,44,14,9.0,10,2,0,2,26,7,0,120,10.0,1215,25:19,66,40,0,0,
892,Jonathan Toews\toewsjo01,33,CHI,C,48,5,17,22,-11,22,1.0,3,1,1,1,14,3,0,81,6.2,851,17:43,14,16,521,379,57.9
893,Tyler Toffoli\toffoty01,29,TOT,C,49,16,22,38,-7,4,3.8,9,6,1,1,14,7,1,132,12.1,824,16:49,18,56,10,11,47.6
893,Tyler Toffoli\toffoty01,29,MTL,C,37,9,17,26,-8,4,2.2,4,4,1,0,13,4,0,100,9.0,648,17:31,14,46,5,8,38.5
893,Tyler Toffoli\toffoty01,29,CGY,C,12,7,5,12,1,0,1.6,5,2,0,1,1,3,1,32,21.9,176,14:38,4,10,5,3,62.5
894,Eeli Tolvanen\tolvaee01,22,NSH,RW,54,7,10,17,0,12,1.1,6,1,0,1,5,5,0,125,5.6,744,13:47,26,132,0,1,0.0
895,Philip Tomasino\tomasph01,20,NSH,C,51,8,13,21,0,10,1.9,5,3,0,2,9,4,0,68,11.8,583,11:26,16,28,17,28,37.8
896,Dominic Toninato\tonindo01,27,WPG,C,54,5,5,10,0,20,0.7,4,0,1,1,3,0,2,37,13.5,451,8:22,21,72,45,67,40.2
897,Alexey Toropchenko\toropal01,22,STL,RW,7,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,10,0.0,69,9:51,2,18,1,1,50.0
898,Brayden Tracey\tracebr01,20,ANA,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,9,9:21,0,0,0,0,
899,Yakov Trenin\treniya01,25,NSH,C,55,13,5,18,8,37,2.0,13,0,0,2,5,0,0,93,14.0,797,14:29,28,126,6,15,28.6
900,Vincent Trocheck\trochvi01,28,CAR,C,57,15,23,38,13,66,4.0,10,5,0,3,17,6,0,106,14.2,1013,17:46,33,129,492,417,54.1
901,Jacob Trouba\troubja01,27,NYR,D,58,9,19,28,12,78,6.3,8,1,0,1,16,2,1,152,5.9,1310,22:35,131,155,0,0,
902,Alexander True\trueal01,24,SEA,F,8,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,6,0.0,66,8:15,2,22,12,15,44.4
903,Alex Tuch\tuchal01,25,BUF,RW,27,8,16,24,6,10,2.6,6,2,0,0,14,2,0,83,9.6,523,19:22,27,20,7,10,41.2
904,Riley Tufte\tufteri01,23,DAL,LW,10,1,0,1,0,4,0.1,1,0,0,0,0,0,0,5,20.0,72,7:12,4,9,1,1,50.0
905,Alex Turcotte\turcoal02,20,LAK,C,8,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,13,0.0,90,11:15,2,8,12,17,41.4
906,Kyle Turris\turriky01,32,EDM,C,23,1,3,4,-5,4,0.0,1,0,0,0,3,0,0,21,4.8,198,8:37,6,13,28,22,56.0
